"osm_id","type","population"
480330738,"residential",1
480330741,"residential",2
480330744,"residential",9
480330745,"residential",2
480330746,"residential",0
480330747,"residential",1
480330748,"residential",0
480330749,"residential",0
480330750,"residential",1
480135873,"residential",3
480135880,"residential",3
552459110,"downtown",8
480135920,"residential",0
480135921,"residential",3
481072128,"residential",6
480135922,"residential",0
480135923,"residential",3
480135924,"residential",2
480135936,"residential",0
178597340,"residential",2
488493314,"residential",6
480135937,"residential",2
480135938,"residential",0
480135939,"residential",0
480135940,"residential",0
480135858,"residential",3
480135941,"residential",0
480135942,"residential",2
480135946,"residential",0
480135947,"residential",1
480135866,"residential",0
480135948,"residential",2
480135913,"residential",1
480135914,"residential",0
480135877,"residential",4
480135878,"residential",3
480135915,"residential",1
480135916,"residential",0
480135917,"residential",0
216615746,"commercial",19
480135918,"residential",2
480135919,"residential",0
480135928,"residential",0
480135929,"residential",1
480135930,"residential",3
480135931,"residential",0
480135932,"residential",0
480135933,"residential",0
480135934,"residential",1
480135935,"residential",3
480135868,"residential",3
480135834,"residential",0
480135867,"residential",0
480135869,"residential",1
480135870,"residential",4
480330783,"residential",1
480330838,"residential",0
480330839,"residential",3
480330840,"residential",0
480135850,"residential",0
480135851,"residential",1
480330779,"residential",0
480330780,"residential",1
480330796,"residential",1
480330798,"residential",0
480330818,"residential",1
480330819,"residential",2
480330822,"residential",1
480330823,"residential",1
480565808,"residential",12
480330824,"residential",0
480330825,"residential",0
480330826,"residential",2
480330827,"residential",0
480330828,"residential",2
480330829,"residential",0
480330830,"residential",1
480330831,"residential",1
480330832,"residential",0
480330833,"residential",1
480330834,"residential",1
480330835,"residential",0
480330836,"residential",0
480330837,"residential",1
480135840,"residential",0
480135841,"residential",0
480330804,"residential",0
480330805,"residential",1
480330806,"residential",0
480330807,"residential",0
177272153,"residential",1
480330808,"residential",0
480330809,"residential",0
480330810,"residential",0
480330811,"residential",0
480330812,"residential",0
480330813,"residential",0
480330814,"residential",1
480330815,"residential",0
480330816,"residential",1
480330817,"residential",1
480135839,"residential",0
480330740,"residential",0
480135857,"residential",0
480135862,"residential",0
480135863,"residential",3
480330782,"residential",1
480330802,"residential",1
480330820,"residential",0
480330821,"residential",0
480135842,"residential",0
480135843,"residential",0
480135844,"residential",3
480135845,"residential",0
480135846,"residential",0
480135847,"residential",6
493547297,"residential",6
480135861,"residential",3
480330803,"residential",3
493547309,"residential",6
376291232,"residential",2
376291235,"residential",4
376291246,"residential",1
376291255,"residential",4
376291276,"residential",1
376291286,"residential",1
376291238,"residential",3
376291242,"residential",0
376291249,"residential",3
480565875,"residential",1
480565877,"residential",4
376291256,"residential",3
376291281,"residential",2
376291284,"residential",3
376291290,"residential",3
480565879,"residential",2
376291302,"residential",3
376291303,"residential",2
376291315,"residential",1
376291322,"residential",3
480565873,"residential",0
480565874,"residential",0
493547337,"residential",6
337528443,"residential",27
493547323,"residential",6
493547345,"residential",6
480565878,"residential",0
337339599,"residential",23
493547389,"residential",6
493547260,"residential",6
493805856,"residential",6
327364022,"residential",41
488790730,"residential",6
488790732,"residential",6
488790841,"residential",6
493547256,"residential",6
493547264,"residential",6
488790778,"residential",6
488790801,"residential",6
480565810,"residential",8
480565818,"residential",8
483520265,"residential",8
484662492,"residential",0
484662493,"residential",2
484662494,"residential",2
484662495,"residential",1
484662496,"residential",0
484662508,"residential",1
493547322,"residential",8
493547369,"residential",8
488493088,"residential",8
488493093,"residential",8
261600116,"residential",12
484662497,"residential",9
488684649,"residential",10
261600117,"residential",12
326680584,"residential",22
326680874,"residential",22
671767666,"residential",6
305939763,"residential",23
256675754,"residential",23
177269741,"residential",1
177272154,"residential",1
177272156,"residential",1
177272157,"residential",2
177272158,"residential",1
177272159,"residential",1
376291262,"residential",1
376291317,"residential",1
376291234,"residential",3
376291236,"residential",4
376291252,"residential",1
376291270,"residential",2
376291271,"residential",2
376291274,"residential",1
376291320,"residential",2
377779975,"residential",2
377779977,"residential",0
377779984,"residential",4
177272161,"residential",1
